FECHA INICIO;FECHA TERMINO;CONCEPTO;LINE;KEY Equipment;UNIDAD;CONSUMO;ID;ID Unico;ID FABRICACION
1/04/2024;7/04/2024;Energía Eléctrica;UTILITIES;AN2;[kWh];0;236;236.3;
1/04/2024;7/04/2024;Energía Eléctrica;UTILITIES;AN3;[kWh];29;237;237.3;MCE
1/04/2024;7/04/2024;Energía Eléctrica;UTILITIES;AN4;[kWh];1930,3125;238;238.3;MCE
1/04/2024;7/04/2024;Energía Eléctrica;Supply;BPT;[kWh];4634,931463;239;239.3;unitario
1/04/2024;7/04/2024;Energía Eléctrica;FOCKE;C25;[kWh];1455;25;25.3;GRUPO 25
1/04/2024;7/04/2024;Energía Eléctrica;GD;C26;[kWh];1591;26;26.3;GRUPO 26
1/04/2024;7/04/2024;Energía Eléctrica;GD;C32;[kWh];2855;32;32.3;GRUPO 32
1/04/2024;7/04/2024;Energía Eléctrica;FOCKE;C33;[kWh];4313;33;33.3;GRUPO 33
1/04/2024;7/04/2024;Energía Eléctrica;GD;C58;[kWh];18;58;58.3;GRUPO 58
1/04/2024;7/04/2024;Energía Eléctrica;GD;C61;[kWh];4120,035861;61;61.3;GRUPO 61
1/04/2024;7/04/2024;Energía Eléctrica;GD;C62;[kWh];2333,208565;62;62.3;GRUPO 62
1/04/2024;7/04/2024;Energía Eléctrica;GD;C63;[kWh];2507,471177;63;63.3;GRUPO 63
1/04/2024;7/04/2024;Energía Eléctrica;FOCKE;C64;[kWh];1667;64;64.3;GRUPO 64
1/04/2024;7/04/2024;Energía Eléctrica;FOCKE;C65;[kWh];3423;65;65.3;GRUPO 65
1/04/2024;7/04/2024;Energía Eléctrica;FOCKE;C68;[kWh];1474;68;68.3;GRUPO 68
1/04/2024;7/04/2024;Energía Eléctrica;GD;C88;[kWh];0;88;88.3;GRUPO 88
1/04/2024;7/04/2024;Energía Eléctrica;GD;C90;[kWh];1380,59687;90;90.3;GRUPO 90
1/04/2024;7/04/2024;Energía Eléctrica;FOCKE;C96;[kWh];75,14099191;96;96.3;GRUPO 96
1/04/2024;7/04/2024;Energía Eléctrica;UTILITIES;Calderas;[kWh];1314;216;216.3;VAPOR TOTAL
1/04/2024;7/04/2024;Energía Eléctrica;UTILITIES;Chiller SMD1;[kWh];0;329;329.3;TEMPERATURA
1/04/2024;7/04/2024;Energía Eléctrica;UTILITIES;Chiller SMD2;[kWh];3493;330;330.3;TEMPERATURA
1/04/2024;7/04/2024;Energía Eléctrica;UTILITIES;CLIMATIZADO BODEGA HEBRAS;[kWh];8279;285;285.3;HUMEDAD
1/04/2024;7/04/2024;Energía Eléctrica;UTILITIES;Colector 1;[kWh];402;241;241.3;unitario
1/04/2024;7/04/2024;Energía Eléctrica;UTILITIES;Colector 2;[kWh];951;242;242.3;unitario
1/04/2024;7/04/2024;Energía Eléctrica;UTILITIES;Complejo deportivo;[kWh];408,28125;220;220.3;unitario
1/04/2024;7/04/2024;Energía Eléctrica;UTILITIES;Compresor FILTROS;[kWh];0;200;200.3;
1/04/2024;7/04/2024;Energía Eléctrica;UTILITIES;Compresor SALA;[kWh];26274;243;243.3;MCE+MVAR
1/04/2024;7/04/2024;Energía Eléctrica;PMD;DCCC;[kWh];328,4375;201;201.3;HxD LAMINA (pre-secado)
1/04/2024;7/04/2024;Energía Eléctrica;FOCKE;E25;[kWh];0;404;404.3;GRUPO 25
1/04/2024;7/04/2024;Energía Eléctrica;GD;E26;[kWh];1;405;405.3;GRUPO 26
1/04/2024;7/04/2024;Energía Eléctrica;GD;E28;[kWh];0;406;406.3;GRUPO 28
1/04/2024;7/04/2024;Energía Eléctrica;GD;E30;[kWh];33,22036401;408;408.3;GRUPO 30
1/04/2024;7/04/2024;Energía Eléctrica;GD;E32;[kWh];607;409;409.3;GRUPO 32
1/04/2024;7/04/2024;Energía Eléctrica;FOCKE;E33;[kWh];1252,0625;410;410.3;GRUPO 33
1/04/2024;7/04/2024;Energía Eléctrica;GD;E61;[kWh];2610;411;411.3;GRUPO 61
1/04/2024;7/04/2024;Energía Eléctrica;GD;E62;[kWh];2963,802983;412;412.3;GRUPO 62
1/04/2024;7/04/2024;Energía Eléctrica;GD;E63;[kWh];3990,950297;413;413.3;GRUPO 63
1/04/2024;7/04/2024;Energía Eléctrica;FOCKE;E64;[kWh];679;414;414.3;GRUPO 64
1/04/2024;7/04/2024;Energía Eléctrica;FOCKE;E65;[kWh];1226;415;415.3;GRUPO 65
1/04/2024;7/04/2024;Energía Eléctrica;FOCKE;E68;[kWh];0;417;417.3;GRUPO 68
1/04/2024;7/04/2024;Energía Eléctrica;GD;E88;[kWh];0;419;419.3;GRUPO 88
1/04/2024;7/04/2024;Energía Eléctrica;GD;E90;[kWh];768,1964421;420;420.3;GRUPO 90
1/04/2024;7/04/2024;Energía Eléctrica;FOCKE;E96;[kWh];0;421;421.3;GRUPO 96
1/04/2024;7/04/2024;Energía Eléctrica;UTILITIES;EP1;[kWh];0;244;244.3;
1/04/2024;7/04/2024;Energía Eléctrica;UTILITIES;EP2;[kWh];0;245;245.3;
1/04/2024;7/04/2024;Energía Eléctrica;UTILITIES;EP3;[kWh];1430;246;246.3;MCE1
1/04/2024;7/04/2024;Energía Eléctrica;UTILITIES;EP4;[kWh];3291;247;247.3;MCE2
1/04/2024;7/04/2024;Energía Eléctrica;UTILITIES;EP5;[kWh];0;248;248.3;MCE3
1/04/2024;7/04/2024;Energía Eléctrica;UTILITIES;EP6;[kWh];0;249;249.3;
1/04/2024;7/04/2024;Energía Eléctrica;PMD;Fibex;[kWh];2037,5;202;202.3;Fibex
1/04/2024;7/04/2024;Energía Eléctrica;FILTROMAT;FILTROMAT;[kWh];2610;203;203.3; GRUPO 203
1/04/2024;7/04/2024;Energía Eléctrica;FMD;G100;[kWh];0;100;100.3; GRUPO 100
1/04/2024;7/04/2024;Energía Eléctrica;FMD;G101;[kWh];0;101;101.3; GRUPO 101
1/04/2024;7/04/2024;Energía Eléctrica;FMD;G102;[kWh];13,04649562;102;102.3; GRUPO 102
